Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2050 [YR2050]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kiribati,KIR,5.22094183156921,56.5144996643066,47.0905990600586,44.5658988952637,46.4496994018555,45.8204002380371,46.5569000244141,41.2215003967285,41.1204986572266,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Korea, Dem. People's Rep.",PRK,7.18959206812245,8.71790027618408,17.6793003082275,23.7912998199463,21.0186996459961,23.1072006225586,21.9207992553711,27.4729995727539,33.6614990234375,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Korea, Rep.",KOR,1.63194686718062,0.700500011444092,1.6143000125885,1.91509997844696,2.86770009994507,2.74399995803833,2.54979991912842,2.84450006484985,3.18400001525879,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kuwait,KWT,0.165242348246376,0,0,0.0015999999595806,0.00300000002607703,0.00370000000111759,0.0212999992072582,0.0260000005364418,0.0335999988019466,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kyrgyz Republic,KGZ,7.9276997426212,35.1609992980957,22.4507007598877,24.8071994781494,26.6044006347656,23.300199508667,21.9185009002686,24.5468006134033,23.2124004364014,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lao PDR,LAO,88.4450970085087,81.5401000976563,62.3606986999512,58.5651016235352,58.252799987793,53.9000015258789,49.5401000976563,45.8628997802734,41.8841018676758,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Late-demographic dividend,LTE,19.5698536467169,21.733828885113,13.9997591893104,13.9305454757449,14.0706824929714,14.2018159144913,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Latin America & Caribbean (excluding high income),LAC,34.6293407159651,29.6929536304879,28.9998285444927,28.5509009775306,28.568338644485,28.9705537948731,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Latvia,LVA,17.5696905194457,35.8208999633789,40.3662986755371,39.5992012023926,40.2352981567383,38.1002006530762,38.4826011657715,42.598201751709,41.2528991699219,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Least developed countries: UN classification,LDC,86.0503189284512,83.8699026820828,74.7376381872267,74.1968827969495,73.4133848008204,73.2195049215421,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lebanon,LBN,11.3416809095177,4.8931999206543,5.56389999389648,5.93520021438599,4.23969984054565,4.16690015792847,3.94470000267029,3.9539999961853,4.71000003814697,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lesotho,LSO,52.0279792504683,56.6982002258301,40.5335998535156,45.581901550293,42.3881988525391,44.9407997131348,43.5480003356934,40.1160011291504,38.415699005127,..,..,..
